table_name,column_name,target_type,format_string,is_active
product_holdings,customer_id,STRING,,True
product_holdings,product_category,STRING,,True
product_holdings,product_code,STRING,,True
product_holdings,start_date,DATE,yyyy-MM-dd,True
product_holdings,end_date,DATE,yyyy-MM-dd,True
product_holdings,status,STRING,,True
product_holdings,is_primary,BOOLEAN,,True
device_events,event_id,STRING,,True
device_events,customer_id,STRING,,True
device_events,device_id,STRING,,True
device_events,event_timestamp,TIMESTAMP,yyyy-MM-dd HH:mm:ss,True
device_events,event_type,STRING,,True
device_events,device_type,STRING,,True
device_events,device_model,STRING,,True
device_events,os_version,STRING,,True
device_events,app_version,STRING,,True
device_events,ip_address,STRING,,True
device_events,ip_country,STRING,,True
device_events,ip_city,STRING,,True
device_events,is_vpn,BOOLEAN,,True
device_events,is_jailbroken,BOOLEAN,,True
device_events,session_duration_sec,INTEGER,,True
device_events,login_success,BOOLEAN,,True
device_events,failed_auth_count,INTEGER,,True
device_events,channel_action,STRING,,True
transaction_fact,transaction_id,STRING,,True
transaction_fact,account_id,STRING,,True
transaction_fact,customer_id,STRING,,True
transaction_fact,transaction_date,DATE,yyyy-MM-dd,True
transaction_fact,transaction_timestamp,TIMESTAMP,yyyy-MM-dd HH:mm:ss,True
transaction_fact,transaction_type,STRING,,True
transaction_fact,transaction_channel,STRING,,True
transaction_fact,amount,DECIMAL,,True
transaction_fact,running_balance,DECIMAL,,True
transaction_fact,counterparty_account,STRING,,True
transaction_fact,counterparty_bsb,STRING,,True
transaction_fact,counterparty_name,STRING,,True
transaction_fact,reference_text,STRING,,True
transaction_fact,merchant_id,STRING,,True
transaction_fact,mcc_code,STRING,,True
transaction_fact,country_code,STRING,,True
transaction_fact,city,STRING,,True
transaction_fact,is_flagged,BOOLEAN,,True
transaction_fact,flag_reason,STRING,,True
transaction_fact,processing_date,DATE,yyyy-MM-dd,True
transaction_fact,batch_id,STRING,,True
card_transaction_fact,card_txn_id,STRING,,True
card_transaction_fact,card_id,STRING,,True
card_transaction_fact,account_id,STRING,,True
card_transaction_fact,customer_id,STRING,,True
card_transaction_fact,auth_timestamp,TIMESTAMP,yyyy-MM-dd HH:mm:ss,True
card_transaction_fact,settlement_date,DATE,yyyy-MM-dd,True
card_transaction_fact,amount,DECIMAL,,True
card_transaction_fact,currency_code,STRING,,True
card_transaction_fact,aud_amount,DECIMAL,,True
card_transaction_fact,merchant_id,STRING,,True
card_transaction_fact,merchant_name,STRING,,True
card_transaction_fact,mcc_code,STRING,,True
card_transaction_fact,merchant_country,STRING,,True
card_transaction_fact,merchant_city,STRING,,True
card_transaction_fact,terminal_type,STRING,,True
card_transaction_fact,entry_mode,STRING,,True
card_transaction_fact,is_cnp,BOOLEAN,,True
card_transaction_fact,is_international,BOOLEAN,,True
card_transaction_fact,device_id,STRING,,True
card_transaction_fact,ip_address,STRING,,True
card_transaction_fact,response_code,STRING,,True
card_transaction_fact,is_disputed,BOOLEAN,,True
card_transaction_fact,dispute_reason,STRING,,True
card_transaction_fact,auth_code,STRING,,True
card_transaction_fact,batch_id,STRING,,True
account_balance_snapshot,snapshot_id,STRING,,True
account_balance_snapshot,account_id,STRING,,True
account_balance_snapshot,customer_id,STRING,,True
account_balance_snapshot,snapshot_date,DATE,yyyy-MM-dd,True
account_balance_snapshot,closing_balance,DECIMAL,,True
account_balance_snapshot,average_balance,DECIMAL,,True
account_balance_snapshot,min_balance,DECIMAL,,True
account_balance_snapshot,max_balance,DECIMAL,,True
account_balance_snapshot,credit_count,INTEGER,,True
account_balance_snapshot,debit_count,INTEGER,,True
account_balance_snapshot,total_credits,DECIMAL,,True
account_balance_snapshot,total_debits,DECIMAL,,True
account_balance_snapshot,fee_amount,DECIMAL,,True
digital_activity,activity_id,STRING,,True
digital_activity,customer_id,STRING,,True
digital_activity,session_id,STRING,,True
digital_activity,activity_timestamp,TIMESTAMP,yyyy-MM-dd HH:mm:ss,True
digital_activity,activity_type,STRING,,True
digital_activity,channel,STRING,,True
digital_activity,feature_area,STRING,,True
digital_activity,duration_seconds,INTEGER,,True
digital_activity,is_completed,BOOLEAN,,True
support_tickets,ticket_id,STRING,,True
support_tickets,customer_id,STRING,,True
support_tickets,account_id,STRING,,True
support_tickets,created_at,TIMESTAMP,yyyy-MM-dd HH:mm:ss,True
support_tickets,resolved_at,TIMESTAMP,yyyy-MM-dd HH:mm:ss,True
support_tickets,resolution_hours,INTEGER,,True
support_tickets,channel,STRING,,True
support_tickets,ticket_category,STRING,,True
support_tickets,ticket_subcategory,STRING,,True
support_tickets,priority,STRING,,True
support_tickets,status,STRING,,True
support_tickets,sentiment_score,DECIMAL,,True
support_tickets,subject,STRING,,True
support_tickets,description,STRING,,True
support_tickets,resolution_notes,STRING,,True
support_tickets,escalated_flag,BOOLEAN,,True
support_tickets,nps_post_resolution,INTEGER,,True
support_tickets,agent_id,STRING,,True
